plant ,species,trt,status,hours,sums
1,incarnata,bag,0,26,9
1,incarnata,open,0,26,5
2,incarnata,bag,0,26,5
2,incarnata,open,1,26,2
3,incarnata,bag,0,26,6
3,incarnata,open,1,10,3
4,incarnata,bag,0,26,10
4,incarnata,open,1,2,0
5,incarnata,bag,0,26,10
5,incarnata,open,1,16,2
6,incarnata,bag,0,26,8
6,incarnata,open,1,24,8
7,incarnata,bag,0,26,7
7,incarnata,open,1,2,0
8,incarnata,bag,0,26,9
8,incarnata,open,1,24,4
9,incarnata,bag,0,26,11
9,incarnata,open,0,26,8
10,incarnata,bag,0,26,10
10,incarnata,open,1,10,4
11,incarnata,bag,0,26,10
11,incarnata,open,0,26,2
12,incarnata,bag,0,26,8
12,incarnata,open,1,26,1
14,incarnata,bag,0,26,9
14,incarnata,open,1,2,0
15,incarnata,bag,0,26,5
15,incarnata,open,0,26,1
16,incarnata,bag,0,26,4
16,incarnata,open,1,14,6
17,incarnata,bag,0,26,8
1,syriaca,bag,0,26,11
1,syriaca,open,0,26,9
2,syriaca,bag,0,26,7
2,syriaca,open,1,22,7
3,syriaca,bag,0,26,7
3,syriaca,open,0,26,9
4,syriaca,bag,0,26,5
4,syriaca,open,0,26,2
5,syriaca,bag,0,26,4
5,syriaca,open,1,6,0
6,syriaca,bag,0,26,4
6,syriaca,open,1,2,0
8,syriaca,bag,0,26,12
8,syriaca,open,0,26,8
9,syriaca,bag,0,26,3
9,syriaca,open,1,24,0
10,syriaca,bag,0,26,1
10,syriaca,open,1,4,0
11,syriaca,bag,0,26,10
11,syriaca,open,1,22,0
12,syriaca,bag,0,26,6
12,syriaca,open,1,22,0
13,syriaca,bag,0,26,12
13,syriaca,open,0,26,3
14,syriaca,bag,0,26,11
14,syriaca,open,0,26,3
15,syriaca,bag,0,26,4
15,syriaca,open,1,10,0
16,syriaca,bag,0,26,8
16,syriaca,open,0,26,0
17,syriaca,bag,0,26,8
17,syriaca,open,0,26,7
