SPECIES,EGG_ID,PLANT_ID,TRT,TIME_POST_DEPLOY,STATUS
SYRIACA,1,1,open,26,1
SYRIACA,2,1,open,26,1
SYRIACA,3,2,open,14,2
SYRIACA,4,2,open,14,2
SYRIACA,5,3,open,14,2
SYRIACA,6,3,open,18,2
SYRIACA,7,4,open,8,2
SYRIACA,8,4,open,8,2
SYRIACA,9,5,open,10,2
SYRIACA,10,5,open,16,2
SYRIACA,11,6,open,6,2
SYRIACA,12,6,open,12,2
SYRIACA,13,7,open,12,2
SYRIACA,14,7,open,12,2
SYRIACA,15,8,open,16,2
SYRIACA,16,8,open,26,1
SYRIACA,17,9,open,26,1
SYRIACA,18,9,open,26,1
SYRIACA,19,10,open,22,2
SYRIACA,20,10,open,26,1
SYRIACA,21,11,open,12,2
SYRIACA,22,11,open,16,2
SYRIACA,23,12,open,6,2
SYRIACA,24,12,open,8,2
SYRIACA,25,13,open,8,2
SYRIACA,26,13,open,8,2
SYRIACA,27,14,open,6,2
SYRIACA,28,14,open,6,2
SYRIACA,29,15,open,8,2
SYRIACA,30,15,open,8,2
INCARNATA,31,16,open,12,2
INCARNATA,32,16,open,26,1
INCARNATA,33,17,open,12,2
INCARNATA,34,17,open,22,2
INCARNATA,35,18,open,26,1
INCARNATA,36,18,open,26,1
INCARNATA,37,19,open,12,2
INCARNATA,38,19,open,16,2
INCARNATA,39,20,open,26,1
INCARNATA,40,20,open,26,1
INCARNATA,41,21,open,18,2
INCARNATA,42,21,open,26,1
INCARNATA,43,22,open,20,2
INCARNATA,44,22,open,26,1
INCARNATA,45,23,open,16,2
INCARNATA,46,23,open,22,2
INCARNATA,47,24,open,2,2
INCARNATA,48,24,open,26,1
INCARNATA,49,25,open,12,2
INCARNATA,50,25,open,12,2
INCARNATA,51,26,open,20,2
INCARNATA,52,26,open,26,1
INCARNATA,53,27,open,16,2
INCARNATA,54,27,open,26,1
INCARNATA,55,28,open,26,1
INCARNATA,56,28,open,26,1
INCARNATA,57,29,open,14,2
INCARNATA,58,29,open,26,1
INCARNATA,59,30,open,16,2
INCARNATA,60,30,open,16,2
SYRIACA,1,1,bag,26,1
SYRIACA,2,1,bag,26,1
SYRIACA,3,2,bag,26,1
SYRIACA,4,2,bag,26,1
SYRIACA,5,3,bag,26,1
SYRIACA,6,3,bag,26,1
SYRIACA,7,4,bag,26,1
SYRIACA,8,4,bag,26,1
SYRIACA,9,5,bag,26,1
SYRIACA,10,5,bag,26,1
SYRIACA,11,6,bag,6,2
SYRIACA,12,6,bag,26,1
SYRIACA,13,7,bag,26,1
SYRIACA,14,7,bag,26,1
SYRIACA,15,8,bag,10,2
SYRIACA,16,8,bag,26,1
SYRIACA,17,9,bag,26,1
SYRIACA,18,9,bag,26,1
SYRIACA,19,10,bag,26,1
SYRIACA,20,10,bag,26,1
SYRIACA,21,11,bag,26,1
SYRIACA,22,11,bag,26,1
SYRIACA,23,12,bag,26,1
SYRIACA,24,12,bag,26,1
SYRIACA,25,13,bag,26,1
SYRIACA,26,13,bag,26,1
SYRIACA,27,14,bag,26,1
SYRIACA,28,14,bag,26,1
SYRIACA,29,15,bag,26,1
SYRIACA,30,15,bag,26,1
INCARNATA,31,16,bag,26,1
INCARNATA,32,16,bag,26,1
INCARNATA,33,17,bag,26,1
INCARNATA,34,17,bag,26,1
INCARNATA,35,18,bag,26,1
INCARNATA,36,18,bag,26,1
INCARNATA,37,19,bag,26,1
INCARNATA,38,19,bag,26,1
INCARNATA,39,20,bag,26,1
INCARNATA,40,20,bag,26,1
INCARNATA,41,21,bag,26,1
INCARNATA,42,21,bag,26,1
INCARNATA,43,22,bag,26,1
INCARNATA,44,22,bag,26,1
INCARNATA,45,23,bag,26,1
INCARNATA,46,23,bag,26,1
INCARNATA,47,24,bag,26,1
INCARNATA,48,24,bag,26,1
INCARNATA,49,25,bag,26,1
INCARNATA,50,25,bag,26,1
INCARNATA,51,26,bag,26,1
INCARNATA,52,26,bag,26,1
INCARNATA,53,27,bag,26,1
INCARNATA,54,27,bag,26,1
INCARNATA,55,28,bag,26,1
INCARNATA,56,28,bag,26,1
INCARNATA,57,29,bag,26,1
INCARNATA,58,29,bag,26,1
INCARNATA,59,30,bag,26,1
INCARNATA,60,30,bag,26,1
